title,author,isbn,category,source,source_url,description
"Seni Budaya Kelas IX","Milasari, Heru Subagio, Siti Masripah,  Jelmanto","978-602-282-338-4","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/Kelas%209%20Seni%20Budaya%20BS%20press.pdf","Buku seni_budaya Kelas 9 - Kurikulum 2013 (K13)."
"Pendidikan Pancasila dan Kewarganegaraan Kelas VII ","Lukman Surya Saputra, Aa Nurdiaman,  Salikun","978-602-282-961-4","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/Kelas%207%20PPKn%20BS%20press.pdf","Buku pendidikan_pancasila Kelas 7 - Kurikulum 2013 (K13)."
"Bahasa Indonesia Kelas VIII ","E. Kosasih","978-602-282-970-6","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/Kelas%208%20Bahasa%20Indonesia%20BS%20press.pdf","Buku bahasa_indonesia Kelas 8 - Kurikulum 2013 (K13)."
"Bahasa Inggris Kelas VIII ","Siti Wachidah, Asep Gunawan, Diyantari,  Yuli Rulani Khatimah","978-602-282-978-2","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/Kelas%208%20Bahasa%20Inggris%20BS%20press.pdf","Buku bahasa_inggris Kelas 8 - Kurikulum 2013 (K13)."
"Ilmu Pengetahuan Alam Kelas VIII ","Siti Zubaidah, Susriyati Mahanal, Lia Yuliati, I Wayan Dasna, Ardian A. Pangestuti, Dyne R. Puspitasari, Hamim T. Mahfudhillah, Alifa Robitah, Zenia L. Kurniawati, Fatia Rosyida,  Mar’atus Sholihah","978-602-282-317-9","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/Kelas%208%20IPA%20BS%20Sem%201%20press.pdf","Buku ipa Kelas 8 - Kurikulum 2013 (K13)."
"Bahasa Inggris Kelas VII","Siti Wachidah, Asep Gunawan, Diyantari, Yuli Rulani Khatimah","978-602-282-977-5","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/B%20Inggris%20SMP%20Kelas%207%20BS%20press.pdf","Buku bahasa_inggris Kelas 7 - Kurikulum 2013 (K13)."
"Ilmu Pengetahuan Alam Kelas VII Semester 1","Wahono Widodo, Fida Rachmadiarti,  Siti Nurul Hidayati","978-602-427-001-8","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/IPA%20Sm1%20SMP%20Kelas%207%20BS%20press.pdf","Buku ipa Kelas 7 - Kurikulum 2013 (K13)."
"Ilmu Pengetahuan Alam Kelas VII Semester 2","Wahono Widodo, Fida Rachmadiarti,  Siti Nurul Hidayati","978-602-427-002-5","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/IPA%20Sm2%20SMP%20Kelas%207%20BS%20press.pdf","Buku ipa Kelas 7 - Kurikulum 2013 (K13)."
"Ilmu Pengetahuan Sosial Kelas VII ","Iwan Setiawan, Dedi, Suciati,  A. Mushlih","978-602-427-008-7","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/IPS%20SMP%20Kelas%207%20BS%20press.pdf","Buku ips Kelas 7 - Kurikulum 2013 (K13)."
"Pendidikan Agama Katolik Dan Budi Pekerti Kelas IX","Lorensius Atrik Wibawa , Yohan Sulisdwiyanta","978-602-282-285-1","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/Katolik%20IX%20BS%20press.pdf","Buku agama_katolik Kelas 9 - Kurikulum 2013 (K13)."
"Buku Guru Pendidikan Agama Katolik dan Budi Pekerti Kelas VIII","Lorensius Atrik Wibawa, Y. Sulisdwiyanta","978-602-282-288-2","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/Kelas%20VIII%20Katolik%20BG%20press.pdf","Buku agama_katolik Kelas 8 - Kurikulum 2013 (K13)."
"Buku Guru Pendidikan Agama Kristen dan Budi Pekerti Kelas VIII","Julia Suleeman Chandra, Pdt. Janse Belandina Non-Serrano","978-602-282-280-6","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/Kelas%20VIII%20Kristen%20BG%20press.pdf","Buku agama_kristen Kelas 8 - Kurikulum 2013 (K13)."
"Buku Guru Pendidikan Agama Khonghucu dan Budi Pekerti Kelas VIII","Js. Yudi, Novita Sari","978-602-282-312-4","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/Kelas%20VIII%20PA%20Khonghucu%20BG%20press.pdf","Buku agama_khonghucu Kelas 8 - Kurikulum 2013 (K13)."
"Buku Guru Matematika Kelas VII","Abdur Rahman As’ari, Mohammad Tohir, Erik Valentino, Zainul Imron, Ibnu Taufiq","978-602-282-992-8","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/Matematika%20SMP%20Kelas%207%20BG%20press.pdf","Buku matematika Kelas 7 - Kurikulum 2013 (K13)."
"Buku Guru Bahasa Indonesia Kelas VII","Titik Harsiati, Agus Trianto, E. Kosasih","978-602-282-973-7","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/B%20Indonesia%20SMP%20Kelas%207%20BG%20press.pdf","Buku bahasa_indonesia Kelas 7 - Kurikulum 2013 (K13)."
"Buku Guru Bahasa Inggris Kelas VII","Siti Wachidah, Asep Gunawan, Diyantari, Yuli Rulani Khatimah","978-602-282-981-2","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/B%20Inggris%20SMP%20Kelas%207%20BG%20press.pdf","Buku bahasa_inggris Kelas 7 - Kurikulum 2013 (K13)."
"Buku Guru IPA kelas VII","Wahono Widodo, Fida Rachmadiarti, Siti Nurul Hidayati","978-602-282-996-6","Kemendikdasmen - K13","kemendikdasmen_k13","https://static-sc.cloudapp.web.id/content/pdf/bukuteks/k13/bukusiswa/IPA%20SMP%20Kelas%207%20BG%20press.pdf","Buku ipa Kelas 7 - Kurikulum 2013 (K13)."
"Jagapati Bumi","Anna Farida","978-623-118-063-6","Kemendikdasmen - Non-Teks","kemendikdasmen_nonteks","https://static-sc.cloudapp.web.id/content/pdf/bukunonteks/pusbuk/Jagapati_Bumi.pdf","Buku Non-Teks Literasi Jenjang D (SMP)."
"Kesatria Penjaga","Fransisca Emilia","978-623-118-061-2","Kemendikdasmen - Non-Teks","kemendikdasmen_nonteks","https://static-sc.cloudapp.web.id/content/pdf/bukunonteks/pusbuk/Kesatria_Penjaga.pdf","Buku Non-Teks Literasi Jenjang D (SMP)."
"Mengejar Haruto","Dewi Cholidatul","978-623-118-016-2 ","Kemendikdasmen - Non-Teks","kemendikdasmen_nonteks","https://static-sc.cloudapp.web.id/content/pdf/bukunonteks/pusbuk/Mengejar_Haruto.pdf","Buku Non-Teks Literasi Jenjang D (SMP)."
"Misteri Drumben Tengah Malam","Dian Kristiani","978-623-118-008-7","Kemendikdasmen - Non-Teks","kemendikdasmen_nonteks","https://static-sc.cloudapp.web.id/content/pdf/bukunonteks/pusbuk/Misteri_Drumben_Tengah_Malam.pdf","Buku Non-Teks Literasi Jenjang D (SMP)."
"Sekolah untuk Timur","Muhammad Fauzi","978-623-118-012-4","Kemendikdasmen - Non-Teks","kemendikdasmen_nonteks","https://static-sc.cloudapp.web.id/content/pdf/bukunonteks/pusbuk/Sekolah_Untuk_Timur.pdf","Buku Non-Teks Literasi Jenjang D (SMP)."
"Komik Rampai Sekilas Yami, Tantangan Sinta, Rio dan Jabrik, Aji Mumpung","Yudha Pangesti, Nurul Chomaria, Tyas K. W., Ahmad Husni","978-623-118-026-1","Kemendikdasmen - Non-Teks","kemendikdasmen_nonteks","https://static-sc.cloudapp.web.id/content/pdf/bukunonteks/pusbuk/Yami_Sinta_Rio_Aji.pdf","Buku Non-Teks Literasi Jenjang D (SMP)."
"Komik Rampai Vanya dan Vino, Tiara x Jerawat, Rahasia Sehat Kakek, Kembalinya Para Lemak","Sri Sarastuti, Fajriatun Nurhidayati, Norrattri, Wulandari Pratiwi","978-623-118-024-7","Kemendikdasmen - Non-Teks","kemendikdasmen_nonteks","https://static-sc.cloudapp.web.id/content/pdf/bukunonteks/pusbuk/Vanya_dan_Vino.pdf","Buku Non-Teks Literasi Jenjang D (SMP)."
"Warna-Warni Anak Ondel-Ondel","Hervianna Artha","978-623-118-014-8","Kemendikdasmen - Non-Teks","kemendikdasmen_nonteks","https://static-sc.cloudapp.web.id/content/pdf/bukunonteks/pusbuk/Warna_Warni_Anak_Ondel.pdf","Buku Non-Teks Literasi Jenjang D (SMP)."
"Alice in Wonderland","Various","","Children Classic","freekidsbooks","https://gerhardschimpf.github.io/react-reader/files/alice.epub","A classic book for children available for free download."
"The Secret Garden","Various","","Children Classic","freekidsbooks","https://gerhardschimpf.github.io/react-reader/files/alice.epub","A classic book for children available for free download."
"qimah","qimah","","Archive.org - Indonesia","archive_org","https://archive.org/download/qimah/qimah.pdf",""
"Wkfat.doc","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/Wkfat.doc/Wkfat.doc.pdf","Wkfat"
"Berikut Ini Admin Bagikan Jadwal Imsakiyah Bulan Ramadhan Tahun 1441 H – 2020 M – JADWAL IMSAKIYAH RAMADHAN 2020 M 1441 H","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/berikut-ini-admin-bagikan-jadwal-imsakiyah-bulan-ramadhan-tahun-1441-h-2020-m-ja/berikut-ini-admin-bagikan-jadwal-imsakiyah-bulan-ramadhan-tahun-1441-h-2020-m-ja.pdf","Jadwal Imsakiyah Ramadhan 2020 Versi Kemenag – Tips Kesehatan Dan Kecantikan   Jadwal Imsakiyah Ramadhan 2020 Versi Kemenag Tipssehatcantik.com   – lihat  Jadwal Imsakiyah  Ramadhan 1441H-2020M, jadwal Ramadhan 2020 versi KEMENAG untuk semua ibukota provinsi di Indonesia,  Jadwal Berbuka Puasa dan Saur Ramadhan 2020  berdasarkan hisab Kemenag, jadwal imsakiyah kota Jakarta, Surabaya, Medan, Makassar, Semarang, Yogyakarta, Banda Aceh. Silahkan anda download dan lihat  Jadwal imsakiyah tahun 2020 "
"[ REVISI] 2. Dok Penawaran Administrasi & Teknis","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/REVISI2.DokPenawaranAdministrasiTeknis/REVISI2.DokPenawaranAdministrasiTeknis.pdf","Revisi Dokumen Penawaran Admintek Batang Bangko TAA"
"[ REVISI 2] 2. Dok Penawaran Administrasi & Teknis","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/REVISI22.DokPenawaranbatangbangko/REVISI22.DokPenawaranbatangbangko.pdf","Revisi 1 Dok Penawaran Biaya, Revisi 2 Dok Penawaran Admintek Sup Batang Bangko Padang"
"Revisi Penawaran Biaya + Admin & Teknis Supervisi Rehabilitasi Sungapan","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/PENAWARANArevisi/PENAWARANArevisi.pdf","Revisi Penawaran Biaya + Admin & Teknis Supervisi Rehabilitasi Sungapan Vitraha - Arss Baru - KSO"
"punyameitri","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/punyameitri/punyameitri.pdf","pengertian tari daerah"
"Sept. 2015. Hasil. Olah. PPM. Jateng. 7z","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/Sept.2015.Hasil.Olah.PPM.Jateng/Sept.2015.Hasil.Olah.PPM.Jateng.pdf","Hasil Olah PPM Jateng Sept 2015"
"Seragam Santri Pptq Ibnu Abbas Klaten 2016","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/SeragamSantriPptqIbnuAbbasKlaten2016/SeragamSantriPptqIbnuAbbasKlaten2016.pdf","seragam ibnu abbas 2016"
"penyihirperawatR0112fin","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/penyihirperawatR0112fin/penyihirperawatR0112fin.pdf","c"
"AC 310gr ( 7lembar)","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/AC310gr7lembar/AC310gr7lembar.pdf","AC 310gr ( 7lembar)"
"BACKUP Hasil Upload Paket Jl Domyang Notogiwang","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/BACKUPHasilUpload_201906/BACKUPHasilUpload_201906.pdf","Hasil Upload Paket Jl Domyang-Notogiwang"
"Al Afasy 000 Versebyverse","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/AlAfasy000Versebyverse/AlAfasy000Versebyverse.pdf","Al Afasy Complete Audio Quran Arabic Only Verse by Verse"
"Contoh TTD Personil Pamarayan Serang","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/ContohTTDPersonilPamarayanSerang/ContohTTDPersonilPamarayanSerang.pdf","ttd"
"Farshad Seyfi Selam Loresoo ( MP3 320)","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/FarshadSeyfiSelamLoresooMP3320/FarshadSeyfiSelamLoresooMP3320.pdf","Farshad Seyfi Selam Loresoo ( MP3 320)"
"Fares Abad","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/FaresAbad_201309/FaresAbad_201309.pdf","قرآن،فارس،عّباد"
"Sarah Palin's E-mail Records: 2008-04-22","The State of Alaska","","Archive.org - Indonesia","archive_org","https://archive.org/download/203658-sarah-palins-e-mail-records-2008-04-22/203658-sarah-palins-e-mail-records-2008-04-22.pdf","Unofficial mirror of http://www.documentcloud.org/documents/203658-sarah-palins-e-mail-records-2008-04-22.html"
"Asbat Ilm ul Ghaib Fi Jawab Izalatu Raib.pdf","Muhammad Tariq Lahori Sunni Hanafi","","Archive.org - Indonesia","archive_org","https://archive.org/download/AsbatIlmUlGhaibFiJawabIzalatuRaib.pdf/AsbatIlmUlGhaibFiJawabIzalatuRaib.pdf.pdf","Asbat Ilm ul Ghaib Fi Jawab Izalatu Raib.pdf"
"Examen Algebre Math 1 SMP SMC S 1 Session De Janvier 2005 2006","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/ExamenAlgebreMath1SMPSMCS1SessionDeJanvier20052006/ExamenAlgebreMath1SMPSMCS1SessionDeJanvier20052006.pdf","id=90"
"Surah Anmbya Surah Room","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/SurahAnmbyaSurahRoom/SurahAnmbyaSurahRoom.pdf","Tajweed"
"Forkan 05","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/Forkan05/Forkan05.pdf","a"
"FULL PAPER FASHION SEBAGAI KOMUNIKASI MUHAMMAD HASYIM","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/FULLPAPERFASHIONSEBAGAIKOMUNIKASIMUHAMMADHASYIM/FULLPAPERFASHIONSEBAGAIKOMUNIKASIMUHAMMADHASYIM.pdf","Fashion (pakain/busana) tidak hanya digunakan secara denotasi untuk menutupi dan melindungi tubuh, tetapi juga digunakan secara konotasi untuk mengkomunikasi suatu suatu konsep (pandangan). Fenomena yang ada di masysrakat menunjukkan bahwa fashion digunakan sebagai media komunikasi. Bahkan, Eco, ahli semiotika, menegaskan bahwa “I speak through my cloth”. Dalam pemilihan presiden Indonesi 2014, „Jokowi‟ salah satu calon presiden berkomunikasi politik melalui fashion. Pandangan politik yang dikom"
"Kerjaan Nay","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/KerjaanNay/KerjaanNay.pdf","Penjelasan Sejarah Indonesia"
"KIKHW","kikhw","","Archive.org - Indonesia","archive_org","https://archive.org/download/KHAWATEENEISLAMKHERATANGEZWAQIAT/KHAWATEENEISLAMKHERATANGEZWAQIAT.pdf",""
"CONSTRUCT 05","Jalang Mode, Bayu Galang, Aksop, Poetra Slamet, Seorang Kalajengking, Cassius Song","","Archive.org - Indonesia","archive_org","https://archive.org/download/construct-05/construct-05.pdf","We have grown accustomed to the riots, hatred, and violence that fill the streets everyday. New events that are discussed and given attention to keep on coming—from cheap affairs of celebrities, the rotten political scandals, to terroristic atrocities. And we perceive such events as some sort of ""turbulence."" A disturbing anomaly to our supposedly ordinary, normal, and organized daily life that we choose to view from a distance while taking cover behind the comforting walls of our homes, offices"
"Buku Ajar Mata Kuliah : Pembelajaran Sosial Emosional","Prof. Dr. Yerimadesi, S.Pd., M.Si., Oscarina Dewi Kusuma, S.Pd., M.Pd.","","Archive.org - Indonesia","archive_org","https://archive.org/download/bamk-pembelajaran-sosial-emosional/bamk-pembelajaran-sosial-emosional.pdf","Buku Ajar Mata Kuliah (BAMK) Piloting PPG bagi Guru Tertentu : Pembelajaran Sosial Emosional"
"Sini Makalet W Tasamim","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/MakaletWTasamim.7z/MakaletWTasamim.7z.pdf","من اسطوانة التحريض لأهل سيناء"
"Kemal","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/Kemal_201711/Kemal_201711.pdf","Kemal"
"Sarah Palin's E-mail Records: 2007-11-05","The State of Alaska","","Archive.org - Indonesia","archive_org","https://archive.org/download/203897-sarah-palins-e-mail-records-2007-11-05/203897-sarah-palins-e-mail-records-2007-11-05.pdf","Unofficial mirror of http://www.documentcloud.org/documents/203897-sarah-palins-e-mail-records-2007-11-05.html"
"Sarah Palin's E-mail Records: 2008-09-14","The State of Alaska","","Archive.org - Indonesia","archive_org","https://archive.org/download/203578-sarah-palins-e-mail-records-2008-09-14/203578-sarah-palins-e-mail-records-2008-09-14.pdf","Unofficial mirror of http://www.documentcloud.org/documents/203578-sarah-palins-e-mail-records-2008-09-14.html"
"Sub-Anarki","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/sub-anarki/sub-anarki.pdf","-"
"sudan-sofiah","mohamedsafe","","Archive.org - Indonesia","archive_org","https://archive.org/download/sudan-sofiah/sudan-sofiah.pdf","www.facebook.com/sudansalaf"
"idwiki-Bahasa_Bunak-20200725.pdf","Wikipedia","","Archive.org - Indonesia","archive_org","https://archive.org/download/idwiki-Bahasa_Bunak-20200725.pdf/idwiki-Bahasa_Bunak-20200725.pdf.pdf","Wikipedia page."
"idwiki-Bahasa_Buryat-20200726.pdf","Wikipedia","","Archive.org - Indonesia","archive_org","https://archive.org/download/idwiki-Bahasa_Buryat-20200726.pdf/idwiki-Bahasa_Buryat-20200726.pdf.pdf","Wikipedia page."
"idwiki-Bahasa_Saponi-20200725.pdf","Wikipedia","","Archive.org - Indonesia","archive_org","https://archive.org/download/idwiki-Bahasa_Saponi-20200725.pdf/idwiki-Bahasa_Saponi-20200725.pdf.pdf","Wikipedia page."
"asbab-f","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/asbab-f/asbab-f.pdf",""
"AC 310 @ 10x ( 50 Lembar)","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/ac31010x50lembar/ac31010x50lembar.pdf","AC 310 @ 10x ( 50 Lembar)"
"AC 310gr @ 1x ( 14 Lembar)","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/ac310gr1x14lembar_201908/ac310gr1x14lembar_201908.pdf","AC 310gr @ 1x ( 14 Lembar)"
"AC 310gr @ 1x ( 3 Lembar)","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/ac310gr1x3lembar/ac310gr1x3lembar.pdf","AC 310gr @ 1x ( 3 Lembar)"
"Sarah Palin's E-mail Records: 2007-05-17","The State of Alaska","","Archive.org - Indonesia","archive_org","https://archive.org/download/204101-sarah-palins-e-mail-records-2007-05-17/204101-sarah-palins-e-mail-records-2007-05-17.pdf","Unofficial mirror of http://www.documentcloud.org/documents/204101-sarah-palins-e-mail-records-2007-05-17.html"
"Scritti Postumi","Bruno Filippi","","Archive.org - Indonesia","archive_org","https://archive.org/download/bruno-filippi-scritti-postumi/bruno-filippi-scritti-postumi.pdf","Note: We do not responsible of any beautiful explosions within yourselves after reading this book! Because this book contains the eternal flame of insurrection against all form of chains by the individual, maniac eurasthenics suicide, frustration, depression, a willingness to attack by guns and bombs (like the way it supposed to be)."
"AC 310gr ( 12 Lembar)","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/AC310gr12Lembar/AC310gr12Lembar.pdf","AC 310gr"
"quran1","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/quran1_83/quran1_83.pdf","qurrr"
"racihi_hadith.ahad","www.akademya.biz","","Archive.org - Indonesia","archive_org","https://archive.org/download/racihi_hadith.ahad/racihi_hadith.ahad.pdf","hadis,hadith, ahad, ilhad, zÄ±ndÄ±k"
"Warped Penguins","Csaba Csáki,Yuval Grossman,Philip Tanedo,Yuhsin Tsai","","Archive.org - Indonesia","archive_org","https://archive.org/download/arxiv-1004.2037/arxiv-1004.2037.pdf","We present an analysis of the loop-induced magnetic dipole operator in the Randall-Sundrum model of a warped extra dimension with anarchic bulk fermions and an IR brane localized Higgs. These operators are finite at one-loop order and we explicitly calculate the branching ratio for mu to e gamma using the mixed position/momentum space formalism. The particular bound on the anarchic Yukawa and KK scales can depend on the flavor structure of the anarchic matrices. It is possible for a generic mode"
"idwiki-Bahasa_Arpitan-20200727.pdf","Wikipedia","","Archive.org - Indonesia","archive_org","https://archive.org/download/idwiki-Bahasa_Arpitan-20200727.pdf/idwiki-Bahasa_Arpitan-20200727.pdf.pdf","Wikipedia page."
"RINGKASAN MATERI DAN TUGAS 1","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/RINGKASANMATERIDANTUGAS1/RINGKASANMATERIDANTUGAS1.pdf","materi tentang mekanika"
"Bagan Buku Fikih 4 Mazhab","Alukah.net","","Archive.org - Indonesia","archive_org","https://archive.org/download/BaganBukuFikih4Mazhab/BaganBukuFikih4Mazhab.pdf","Bagan buku fikih 4 mazhab, ØªØ´Ø¬ÙØ± ÙØªØ¨ Ø§ÙÙÙÙ ÙÙÙØ°Ø§ÙØ¨ Ø§ÙØ£Ø±Ø¨Ø¹Ø©"
"Weyl compatible tensors","Carlo A. Mantica,Luca G. Molinari","","Archive.org - Indonesia","archive_org","https://archive.org/download/arxiv-1212.1273/arxiv-1212.1273.pdf","We introduce the new algebraic property of Weyl compatibility for symmetric tensors and vectors. It is strictly related to Riemann compatibility, which generalizes the Codazzi condition while preserving much of its geometric implications. In particular it is shown that the existence of a Weyl compatible vector implies the Weyl tensor to be algebraically special, and it is a necessary and sufficient condition for the magnetic part to vanish. Some theorems (Derdzinski and Shen, Hall) are extended "
"Siksa Neraka","Various","","Archive.org - Indonesia","archive_org","https://archive.org/download/siksa-neraka/siksa-neraka.pdf","Siksa Neraka"
"Penjaskes Kelas 7","Kemdikbud","","BSE Pendidikan.id - Kelas 7","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_7smp/siswa/Kelas_07_SMP_Penjaskes_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 7 SMP."
"Matematika Kelas 7","Kemdikbud","","BSE Pendidikan.id - Kelas 7","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_7smp/siswa/Kelas_07_SMP_Matematika_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 7 SMP."
"Bahasa Indonesia Kelas 7","Kemdikbud","","BSE Pendidikan.id - Kelas 7","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_7smp/siswa/Kelas_07_SMP_Bahasa_Indonesia_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 7 SMP."
"IPA Kelas 7","Kemdikbud","","BSE Pendidikan.id - Kelas 7","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_7smp/siswa/Kelas_07_SMP_IPA_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 7 SMP."
"IPS Kelas 7","Kemdikbud","","BSE Pendidikan.id - Kelas 7","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_7smp/siswa/Kelas_07_SMP_IPS_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 7 SMP."
"Penjaskes Kelas 8","Kemdikbud","","BSE Pendidikan.id - Kelas 8","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_8smp/siswa/Kelas_08_SMP_Penjaskes_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 8 SMP."
"Matematika Kelas 8","Kemdikbud","","BSE Pendidikan.id - Kelas 8","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_8smp/siswa/Kelas_08_SMP_Matematika_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 8 SMP."
"Bahasa Indonesia Kelas 8","Kemdikbud","","BSE Pendidikan.id - Kelas 8","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_8smp/siswa/Kelas_08_SMP_Bahasa_Indonesia_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 8 SMP."
"IPA Kelas 8","Kemdikbud","","BSE Pendidikan.id - Kelas 8","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_8smp/siswa/Kelas_08_SMP_IPA_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 8 SMP."
"IPS Kelas 8","Kemdikbud","","BSE Pendidikan.id - Kelas 8","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_8smp/siswa/Kelas_08_SMP_IPS_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 8 SMP."
"Penjaskes Kelas 9","Kemdikbud","","BSE Pendidikan.id - Kelas 9","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_9smp/siswa/Kelas_09_SMP_Penjaskes_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 9 SMP."
"Matematika Kelas 9","Kemdikbud","","BSE Pendidikan.id - Kelas 9","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_9smp/siswa/Kelas_09_SMP_Matematika_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 9 SMP."
"Bahasa Indonesia Kelas 9","Kemdikbud","","BSE Pendidikan.id - Kelas 9","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_9smp/siswa/Kelas_09_SMP_Bahasa_Indonesia_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 9 SMP."
"IPA Kelas 9","Kemdikbud","","BSE Pendidikan.id - Kelas 9","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_9smp/siswa/Kelas_09_SMP_IPA_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 9 SMP."
"IPS Kelas 9","Kemdikbud","","BSE Pendidikan.id - Kelas 9","pendidikan_id","http://bse.mahoni.com/data/2013/kelas_9smp/siswa/Kelas_09_SMP_IPS_Siswa.pdf","Buku Sekolah Elektronik (BSE) Kurikulum 2013 untuk Kelas 9 SMP."
"Jagapati Bumi","Tim Budi","","Literasi Budi Kemendikdasmen","budi_kemendikdasmen","https://budi.kemendikdasmen.go.id/storage/content/buku_model_1.pdf","Buku Model Literasi untuk Jenjang SMP."
